id;Edicion;Id_Propuesta;Titulo;Codigo_Ambito_Referencia;Ambito_Referencia;Tipo_Proponente;Numero_Apoyos;Pasa_Fase_Apoyos;Pasa_Fase_Viabilidad;Numero_Votos;Seleccionada;Presupuesto_euros;Mision_Climatica;Fecha creacion;Fecha_Baja
47;1;2015-00057;Urbanitzacio pio xii-diego miron-pare domenech;4;Campanar;Persona Fisica;NA;No aplicable;SI;75;SI;30750;No aplicable;2023-04-27;NA
55;1;2015-00067;NA;9;Jesus;Persona Fisica;NA;No aplicable;NO;0;NO;NA;No aplicable;2023-04-27;NA
57;1;2015-00069;NA;11;Poblats Maritims;Persona Fisica;NA;No aplicable;NO;0;NO;NA;No aplicable;2023-04-27;NA
95;1;2015-00123;NA;3;Extramurs;Persona Juridica;NA;No aplicable;NO;0;NO;NA;No aplicable;2023-04-27;NA
117;1;2015-00152;NA;6;el Pla del Real;Persona Fisica;NA;No aplicable;NO;0;NO;NA;No aplicable;2023-04-27;NA
160;1;2015-00197;NA;8;Patraix;Persona Juridica;NA;No aplicable;NO;0;NO;NA;No aplicable;2023-04-27;NA
13;1;2015-00015;NA;6;el Pla del Real;Persona Fisica;NA;No aplicable;NO;0;NO;NA;No aplicable;2023-04-27;NA
15;1;2015-00017;NA;16;Benicalap;Persona Fisica;NA;No aplicable;NO;0;NO;NA;No aplicable;2023-04-27;NA
44;1;2015-00053;NA;13;Algiros;Persona Fisica;NA;No aplicable;SI;8;NO;NA;No aplicable;2023-04-27;NA
63;1;2015-00084;NA;3;Extramurs;Persona Fisica;NA;No aplicable;NO;0;NO;NA;No aplicable;2023-04-27;NA
65;1;2015-00088;NA;4;Campanar;Persona Fisica;NA;No aplicable;NO;0;NO;NA;No aplicable;2023-04-27;NA
116;1;2015-00151;Mejora de infraestructuras de señalizacion;5;la Saidia;Persona Fisica;NA;No aplicable;SI;31;SI;21598;No aplicable;2023-04-27;NA
158;1;2015-00195;NA;10;Quatre Carreres;Persona Fisica;NA;No aplicable;NO;0;NO;NA;No aplicable;2023-04-27;NA
192;1;2015-00234;NA;6;el Pla del Real;Persona Fisica;NA;No aplicable;NO;0;NO;NA;No aplicable;2023-04-27;NA
193;1;2015-00235;NA;14;Benimaclet;Persona Fisica;NA;No aplicable;SI;19;NO;NA;No aplicable;2023-04-27;NA
206;1;2015-00250;NA;2;l'Eixample;Persona Juridica;NA;No aplicable;NO;0;NO;NA;No aplicable;2023-04-27;NA
224;1;2015-00269;NA;11;Poblats Maritims;Persona Fisica;NA;No aplicable;NO;0;NO;NA;No aplicable;2023-04-27;NA
225;1;2015-00270;NA;1;Ciutat Vella;Persona Fisica;NA;No aplicable;SI;22;NO;NA;No aplicable;2023-04-27;NA
265;1;2015-00315;NA;11;Poblats Maritims;Persona Fisica;NA;No aplicable;NO;0;NO;NA;No aplicable;2023-04-27;NA
281;1;2015-00337;NA;4;Campanar;Persona Fisica;NA;No aplicable;NO;0;NO;NA;No aplicable;2023-04-27;NA
283;1;2015-00339;Repavimentar calle mariano de cavia nº 36;8;Patraix;Persona Fisica;NA;No aplicable;SI;11;SI;4700;No aplicable;2023-04-27;NA
285;1;2015-00341;NA;12;Camins al Grau;Persona Fisica;NA;No aplicable;NO;0;NO;NA;No aplicable;2023-04-27;NA
298;1;2015-00355;NA;14;Benimaclet;Persona Fisica;NA;No aplicable;NO;0;NO;NA;No aplicable;2023-04-27;NA
379;1;2015-00444;NA;8;Patraix;Persona Fisica;NA;No aplicable;NO;0;NO;NA;No aplicable;2023-04-27;NA
395;1;2015-00460;Iluminacion aceras calle san vicente martir;9;Jesus;Persona Fisica;NA;No aplicable;SI;217;SI;79090;No aplicable;2023-04-27;NA
422;1;2015-00493;NA;9;Jesus;Persona Fisica;NA;No aplicable;NO;0;NO;NA;No aplicable;2023-04-27;NA
436;1;2015-00515;Urbanizacion de la zona verde y peatonal situada entre las calles, transformador- jose poeta albi y carlos climent gonzalez;16;Benicalap;Persona Fisica;NA;No aplicable;SI;67;SI;120000;No aplicable;2023-04-27;NA
439;1;2015-00523;NA;4;Campanar;Persona Juridica;NA;No aplicable;NO;0;NO;NA;No aplicable;2023-04-27;NA
451;1;2015-00536;NA;11;Poblats Maritims;Persona Juridica;NA;No aplicable;NO;0;NO;NA;No aplicable;2023-04-27;NA
495;1;2015-00593;NA;19;Pobles del Sud;Persona Juridica;NA;No aplicable;NO;0;NO;NA;No aplicable;2023-04-27;NA
520;1;2016-00015;NA;15;Rascanya;Persona Juridica;NA;No aplicable;SI;11;NO;NA;No aplicable;2023-04-27;NA
540;1;2016-00035;NA;7;l'Olivereta;Persona Juridica;NA;No aplicable;SI;30;NO;NA;No aplicable;2023-04-27;NA
545;1;2016-00040;NA;2;l'Eixample;Persona Juridica;NA;No aplicable;SI;4;NO;NA;No aplicable;2023-04-27;NA
549;1;2016-00044;NA;6;el Pla del Real;Persona Juridica;NA;No aplicable;SI;6;NO;NA;No aplicable;2023-04-27;NA
554;1;2016-00049;Propuesta ayuntamiento. Acondicionamiento de solar en calle hermanos rivas para aparcamiento;7;l'Olivereta;Persona Juridica;NA;No aplicable;SI;52;SI;80000;No aplicable;2023-04-27;NA
555;1;2016-00050;NA;2;l'Eixample;Persona Juridica;NA;No aplicable;SI;25;NO;NA;No aplicable;2023-04-27;NA
568;1;2016-00063;NA;18;Pobles de l'Oest;Persona Juridica;NA;No aplicable;SI;3;NO;NA;No aplicable;2023-04-27;NA
610;1;2016-00106;NA;19;Pobles del Sud;Persona Juridica;NA;No aplicable;SI;6;NO;NA;No aplicable;2023-04-27;NA
625;2;6;Apertura C/ Padre Viñas a la Ronda Norte (Hermanos Machado);15;Rascanya;Particular;45;SI;SI;211;SI;12000;No aplicable;2023-04-27;NA
641;2;22;Urbanizacion Avenida Constitucion;15;Rascanya;Particular;2;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
655;2;36;Crear una xarxa de panells d'informacio on se publiciten esdeveniments culturals;1;Ciutat Vella;Particular;16;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
681;2;62;Habilitar un pipican en calle Casilda Castellvi;7;l'Olivereta;Particular;3;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
712;2;93;Zona de juegos infantiles y aparatos gimnasia en GV Marques del Turia;2;l'Eixample;Particular;73;SI;NO;0;NO;NA;No aplicable;2023-04-27;NA
781;2;162;Ampliacion del espacio peatonal en Av Primado reig.;14;Benimaclet;Particular;19;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
850;2;231;Escuela infantil municipal;1;Ciutat Vella;Particular;14;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
851;2;232;Crear espacios para proporcionar ocio saludable adolescentes entre 12-16 años;6;el Pla del Real;Particular;2;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
857;2;238;Urbanizacion de la C/ Joaquin Navarro.;9;Jesus;Particular;9;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
880;2;261;Habilitar todas las calles y zonas peatonales en sociopolis;19;Pobles del Sud;Particular;6;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
885;2;266;Construir una nueva pista de atletismo en el cauce del turia;12;Camins al Grau;Particular;38;SI;NO;0;NO;NA;No aplicable;2023-04-27;NA
932;2;313;C.P. CERVANTES RELLENOS HUECOS ALCORQUES Y COLOCACIoN BARRERA DE SEGURIDAD;3;Extramurs;Particular;45;SI;NO;0;NO;NA;No aplicable;2023-04-27;NA
1023;2;404;Sant isidre. Acabar parque continuo al club deportivo Zafranar .;8;Patraix;Particular;5;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1025;2;406;Actuar sobre la interseccion entre las c/Jose Soto Mico,c/ Rafael Lapesa Melgar;9;Jesus;Representante GT;5;SI;NO;0;NO;NA;No aplicable;2023-04-27;NA
1076;2;457;Carril bici Cardenal Benlloch;13;Algiros;Particular;1;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1116;2;497;Parque inclusivo para personas con y sin capacidades diferentes;3;Extramurs;Particular;2;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1132;2;513;NUEVA ILUMINACION CALLE ALEMANY;15;Rascanya;Particular;2;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1178;2;559;Valla de seguridad para el colegio;7;l'Olivereta;Particular;18;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1192;2;573;Acondicionar solar calle Marina Baixa;4;Campanar;Particular;7;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1198;2;579;Arbolado en la Calle Turia, entre calle Quart y Paseo de la Petxina;2;l'Eixample;Particular;2;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1225;3;1015;CENTRE DE RECUPERACIo DE GATS DEL CARRER;Toda la ciudad;Toda la ciudad;Ayuntamiento;1155;SI;SI;2178;NO;881000;No aplicable;2023-04-27;NA
1235;3;1026;ENSANCHAMIENTO ACERA Y CARRIL BICI EN PASSEIG DE LA CIUTADELLA;Toda la ciudad;Toda la ciudad;Particular;13;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1244;3;1035;MAS PAPELERAS EN EL SALER;Toda la ciudad;Toda la ciudad;Particular;19;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1245;3;1036;REHABILITACIoN ALQUERiAS ORRIOLS;Toda la ciudad;Toda la ciudad;Particular;111;SI;SI;1102;NO;520000;No aplicable;2023-04-27;NA
1256;3;1047;HUERTOS URBANOS EN BENIMAMET;Toda la ciudad;Toda la ciudad;Particular;60;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1276;3;1069;INSONORIZACIoN CON REALFALTADO NUENO Y ESPECIAL AV. AUSIAS MARCH;Toda la ciudad;Toda la ciudad;Particular;8;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1286;3;1079;CIRCUITO PEATONAL-RUNNING EN CASTELLAR-OLIVERAL;Toda la ciudad;Toda la ciudad;Particular;100;SI;NO;0;NO;NA;No aplicable;2023-04-27;NA
1360;3;1153;CONVERTIR L'AVINGUDA DEL PORT EN UNA RAMBLA PEATONAL ( DES DE  AV.SERRERIA );Toda la ciudad;Toda la ciudad;Particular;11;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1383;3;1176;NUEVO CENTRO SALUD MALILLA;Toda la ciudad;Toda la ciudad;Particular;208;SI;NO;0;NO;NA;No aplicable;2023-04-27;NA
1405;3;1198;COMISARIA EN BENIMAMET;Toda la ciudad;Toda la ciudad;Particular;203;SI;NO;0;NO;NA;No aplicable;2023-04-27;NA
1409;3;1202;RESIDENCIA Y CENTRO DE DiA PARA PERSONAS DEPENDIENTES;Toda la ciudad;Toda la ciudad;Particular;30;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1431;3;1224;CREAR UNA LiNEA DE AUTOBuS QUE COMUNIQUE AMISTAD CON LA CIUDAD DE LAS CIENCIAS.;Toda la ciudad;Toda la ciudad;Particular;7;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1443;3;1236;LIMPIEZA DE ALCANTARILLADO, PLAYAS, PARQUES Y OTROS.;Toda la ciudad;Toda la ciudad;Particular;2;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1572;3;1368;ADAPTAR PARADAS AUTOBuS EMT A PERSONAS MAYORES, CON SILLA DE RUEDAS, MULETAS...;Toda la ciudad;Toda la ciudad;Particular;23;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1630;3;1426;PISCINA DESCUBIERTA PARA BENIMAMET;Toda la ciudad;Toda la ciudad;Particular;5;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1634;3;1430;"QUE LOS AUTOBUSES DE LA EMT ENTREN EN EL RECINTO DE ""LA FE"" MALILLA";Toda la ciudad;Toda la ciudad;Particular;12;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1656;3;1452;SOTERRAMIENTO DE LAS ViAS DEL TREN DEL FINAL DE LA AV FRANCIA;Toda la ciudad;Toda la ciudad;Particular;4;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1665;3;1461;LA MANZANA PERDIDA DE RUZAFA- REMODELACION;Toda la ciudad;Toda la ciudad;Particular;6;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1723;3;1519;AMPLIACIoN DE PEQUEÑA ZONA VERDE  EN TORREFIEL;Toda la ciudad;Toda la ciudad;Particular;1;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1740;3;1536;HABILITAR ZONAS PROTEGIDAS PARA GATOS (ESCONDITES DE OBRA, CASAS DE MADERA);Toda la ciudad;Toda la ciudad;Particular;3;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1757;3;1553;CUBRIR PISCINA DEL PARQUE OESTE CON CUBIERTA  MoVIL QUE PERMITA USO TODO EL AÑO;Toda la ciudad;Toda la ciudad;Particular;3;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1764;3;1560;RENOVAR EL PARC DEL CARRER EIVISSA;Toda la ciudad;Toda la ciudad;Particular;7;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1816;4;2045;RE-ASFALTAT DE L'ACCeS DE VIVERS PEL CARRER GENERAL ELIO.;6;el Pla del Real;Particular;4;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
1875;4;2104;PISCINA EN LA ZONA MALVARROSA;11;Poblats Maritims;Particular;39;SI;NO;0;NO;NA;No aplicable;2023-04-27;NA
1893;4;2122;CONSTRUCCIoN  DE UN PARQUE EN LAS INMEDIACIONES DEL COLEGIO 103;12;Camins al Grau;Representante GT;0;SI;NO;0;NO;NA;No aplicable;2023-04-27;NA
1908;4;2137;SEÑALIZACIoN CARRER D'EIVISSA Y CREACION BICI CARRIL CON AV. DE LES BALEARS;12;Camins al Grau;Particular;4;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
2001;4;2230;ARBOLADA Y CICLOCALLE EN LA CALLE CASTELLoN;2;l'Eixample;Particular;22;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
2041;4;2270;ILUMINACIoN;17;4;Particular;10;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
2056;4;2285;HABILITAR DOS ESPACIOS ABANDONADOS EN CALLE CULLERA(EXTREMO FERIA VALENCIA).;18;1;Particular;3;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
2075;4;2304;PISTA MULTIDEPORTE Y MESAS DE PING-PONG EN EL PARQUE LINEAL DE BENIMAMET;18;1;Particular;69;SI;SI;243;SI;124555;No aplicable;2023-04-27;NA
2089;4;2318;INICIATIVES SOLIDaRIES;20;No consta;Particular;0;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
2139;4;2368;AL CORQUES Y BANCOS EN FON SANTA Y NOU MOLES;7;l'Olivereta;Representante GT;0;SI;SI;84;SI;200870;No aplicable;2023-04-27;NA
2149;4;2378;PARC DE LES IL·LUCIONS;15;Rascanya;Representante GT;0;SI;SI;110;NO;245000;No aplicable;2023-04-27;NA
2150;4;2379;ALIVIAR EL CALOR DEL PAVIMENTO EN LA ALAMEDA MEDIANTE UN CANAL DE AGUA;6;el Pla del Real;Particular;32;SI;NO;0;NO;NA;No aplicable;2023-04-27;NA
2161;4;2390;ARREGLAR LA TANCA DEL CAMP D'ESPORTS  JUNTO ESCOLETA MUNICIPAL MASSARROJOS;17;6;Particular;8;NO;NO;0;NO;NA;No aplicable;2023-04-27;NA
2171;4;2400;MATERIAL: ESCENARIO;19;7;Particular;20;SI;SI;149;SI;12000;No aplicable;2023-04-27;NA
2192;4;2421;BIBLIOTECA MUNICIPAL;19;3;Particular;32;SI;NO;0;NO;NA;No aplicable;2023-04-27;NA
2213;4;2442;NI UN COLUMPIO EN EL ENSANCHE. PONGAMOS UNO AL MENOS.;2;l'Eixample;Particular;71;SI;SI;134;NO;125000;No aplicable;2023-04-27;NA
2231;4;2460;RUTA POR EL PATRIMONIO INDUSTRIAL DEL GRAU;11;Poblats Maritims;Particular;47;SI;SI;457;SI;18000;No aplicable;2023-04-27;NA
2254;4;2483;HOSPITAL VETERINARIO PUBLICO GRATUITO Y DE CALIDAD;10;Quatre Carreres;Particular;110;SI;NO;0;NO;NA;No aplicable;2023-04-27;NA
