id,pleno_id,fecha,mandat_id,intervinient,entitat,entitat_id,tipus_entitat,idioma_original,ambit,zones,districtes,categorias,subcategorias,cap_major,cap_subtopics,resum_cas,resum_val
2026-03-31-020,2026-03-31,2026-03-31,2023-2027,Vicent Horcas López,Plataforma per Russafa,plataforma-russafa,plataforma,mixt,multi_barri,Russafa|Cabanyal-Canyamelar|Patraix,Ciutat Vella|L'Eixample|La Saïdia|Patraix|Poblats Marítims|Quatre Carreres,urbanisme|economia|participacio,urbanisme:usos_turistics|urbanisme:espai_public|economia:comerc_ocupacio|participacio:participacio|participacio:transparencia,14|15|20,1400|1401|1526|2000,"Vicent Horcas López, de la Plataforma per Russafa, denuncia el proceso intenso de turistificación y gentrificación que está transformando Russafa y otros barrios de Valencia, provocando expulsión de población, degradación del comercio local y pérdida de cohesión social, y propone mecanismos de participación vinculante, regulación fiscal turística, limitación de licencias y protección del derecho a la vivienda.","Vicent Horcas López, de la Plataforma per Russafa, denuncia el procés intens de turistificació i gentrificació que està transformant Russafa i altres barris de València, provocant expulsió de població, degradació del comerç local i pèrdua de cohesió social, i proposa mecanismes de participació vinculant, regulació fiscal turística, limitació de llicències i protecció del dret a l'habitatge."
2026-03-31-019,2026-03-31,2026-03-31,2023-2027,Beatriu Cardona i Prats,Intersindical Valenciana,intersindical-valenciana,sindical,valenciano,ciutat,,,serveis_publics|drets_i_igualtat|mobilitat,serveis_publics:educacio|drets_i_igualtat:drets_linguistics|mobilitat:transit,2|6|10,602|207|1000,"Beatriu Cardona, de la Intersindical Valenciana, reclama en nombre del professorat en vaga centros educativos públicos dotados, rechazando los recortes históricos en educación y exigiendo mejora de infraestructuras, ratios y condiciones laborales docentes.","Beatriu Cardona, de la Intersindical Valenciana, reclama en nom del professorat en vaga centres educatius públics ben dotats, rebutjant els retalls històrics en educació i exigint millora d'infraestructures, ràtios i condicions laborals docents."
2026-03-31-018,2026-03-31,2026-03-31,2023-2027,José Luis Torres Goterris,Comisiones Obreras (CCOO) Ajuntament de València,ccoo-pv,sindical,mixt,ciutat,,,serveis_publics|drets_i_igualtat|participacio,serveis_publics:educacio|drets_i_igualtat:drets_linguistics|participacio:processos_participatius,5|6|20,602|500|2004,"El sindicato CCOO solicita apoyo unánime a la moción socialista sobre educación pública, expresando solidaridad con el profesorado de la Conselleria en huelga y planteando demandas de mejora de la calidad educativa y reducción de ratios.","El sindicat CCOO sol·licita suport unànime a la moció socialista sobre educació pública, expressant solidaritat amb el professorat de la Conselleria en vaga i plantejant demandes de millora de la qualitat educativa i reducció de ràtios."
2026-03-31-017,2026-03-31,2026-03-31,2023-2027,Mª Dolores Gradolí Sandemetrio,Intersindical Valenciana,intersindical-valenciana,sindical,valenciano,area_metropolitana,Horta Sud,,participacio|medi_ambient|economia,participacio:participacio|participacio:transparencia|participacio:processos_participatius|medi_ambient:dana_2024|economia:pressupostos,7|14|20,2000|711|1401,"Intersindical Valenciana critica la gestión de la reconstrucción post-dana y demanda mayor participación ciudadana, transparencia y rendición de cuentas en la Comisión Mixta de la Reconstrucción, cuestionando la capacidad de liderazgo de la alcaldesa en este proceso.","Intersindical Valenciana critica la gestió de la reconstrucció post-dana i demanda major participació ciutadana, transparència i rendició de comptes en la Comissió Mixta de la Reconstrucció, qüestionant la capacitat de lideratge de l'alcaldessa en este procés."
2026-03-31-016,2026-03-31,2026-03-31,2023-2027,Rosa María Álvarez Gil,Asociación de Víctimas Mortales 29 de Octubre i Associació de Víctimes de la Dana 29 d'Octubre de 2024,asociacion-victimas-mortales-dana,av,mixt,multi_barri,La Torre|Castellar-L'Oliveral|Faitanar|El Forn D'Alcedo,Poblats del Sud,participacio|medi_ambient|drets_i_igualtat,participacio:participacio|participacio:processos_participatius|participacio:transparencia|medi_ambient:dana_2024|medi_ambient:emergencies_climatiques|drets_i_igualtat:drets_humans,7|19|20,711|2015|1906,"Las asociaciones de víctimas de la DANA de octubre de 2024 se oponen al nombramiento de José Marí Olano como representante de Valencia en la Comisión Mixta de Reconstrucción, considerando que es un error que compromete la coordinación institucional y descarta la participación de la ciudadanía organizada que lideró la respuesta inicial.","Les associacions de víctimes de la DANA d'octubre de 2024 s'oposen al nomenament de José Marí Olano com a representant de València en la Comissió Mixta de Reconstrucció, considerant que és un error que compromet la coordinació institucional i descarta la participació de la ciutadania organitzada que va liderar la resposta inicial."
2026-03-31-015,2026-03-31,2026-03-31,2023-2027,Pascual Murcia Ortiz,AV Cultural i de Consumidors de Patraix,av-cultural-consumidors-patraix,av,castellano,barri,Patraix,Patraix,participacio|drets_i_igualtat,participacio:participacio|participacio:processos_participatius|drets_i_igualtat:drets_humans,13|20,2000|1305,"El representante de la asociación vecinal de Patraix cuestiona las palabras de un concejal que ponen en duda la legitimidad de la participación ciudadana organizada, apelando al respeto institucional mutuo y a la importancia de 50 años de trabajo vecinal en la construcción de la democracia local.","El representant de l'associació veïnal de Patraix qüestiona les paraules d'un regidor que meten en dubte la legitimitat de la participació ciutadana organitzada, apel·lant al respecte institucional mutu i a la importància de 50 anys de treball veïnal en la construcció de la democràcia local."
2026-03-31-014,2026-03-31,2026-03-31,2023-2027,Concha Gimeno Alriols,AV Abastos-Finca Roja,av-abastos-finca-roja,av,castellano,ciutat,,,drets_i_igualtat|participacio|urbanisme|mobilitat|medi_ambient,drets_i_igualtat:drets_humans|participacio:participacio|participacio:processos_participatius|urbanisme:espai_public|mobilitat:transit|medi_ambient:contaminacio|medi_ambient:zones_verdes,7|10|14|20,1401|2000|705|1001,"La AV Abastos-Finca Roja denuncia la pérdida de confianza en el gobierno municipal y la degradación de Valencia (mayor tráfico, contaminación y turistificación), reivindicando el papel democrático de las asociaciones vecinales frente a las críticas del concejal José Marí Olano.","L'AV Abastos-Finca Roja denúncia la pèrdua de confiança en el govern municipal i la degradació de València (més tràfic, contaminació i turistificació), reivindicant el paper democràtic de les associacions veïnals davant les crítiques del regidor José Marí Olano."
2026-03-31-013,2026-03-31,2026-03-31,2023-2027,Soledad Ramírez Martínez,Associació Cuidem la Raiosa,cuidem-la-raiosa,av,castellano,barri,La Raiosa,Jesús,participacio|drets_i_igualtat|urbanisme,participacio:participacio|participacio:processos_participatius|participacio:transparencia|drets_i_igualtat:drets_humans|urbanisme:espai_public,14|19|20,2000|1401|1906,"Soledad Ramírez Martínez, en representación de la Associació Cuidem la Raiosa, apoya la moción de reprobación contra el concejal de Grandes Proyectos por sus declaraciones desrespectosas hacia el movimiento vecinal, argumentando que la participación ciudadana es un derecho constitucional y solicitando su dimisión o cese inmediato.","Soledad Ramírez Martínez, en representació de l'Associació Cuidem la Raiosa, recolza la moció de reprovació contra el regidor de Grans Projectes per les seues declaracions irrespetuoses cap al moviment veïnal, argumentant que la participació ciutadana és un dret constitucional i sol·licitant la seua dimissió o cessament immediat."
2026-03-31-012,2026-03-31,2026-03-31,2023-2027,Antonio Pla Piera,FAVV (Federación de Asociaciones Vecinales de València),favv,av,mixt,ciutat,,,participacio|drets_i_igualtat,participacio:participacio|participacio:processos_participatius|drets_i_igualtat:drets_humans,14|20,2000|1401,"La FAVV rechaza las manifestaciones de un concejal que cuestionan la legitimidad del movimiento vecinal, subraya su papel estructural en la democracia y anuncia la ruptura de diálogo con el concejal José Marí Olano. Solicita al gobierno municipal reafirmar su compromiso con la participación ciudadana.","La FAVV rebutja les manifestacions d'un regidor que qüestionen la legitimitat del moviment veïnal, subratlles el seu paper estructural en la democràcia i anuncia la ruptura de diàleg amb el regidor José Marí Olano. Sol·licita al govern municipal reafirmar el seu compromís amb la participació ciutadana."
2026-03-31-011,2026-03-31,2026-03-31,2023-2027,Marcelo Martínez Pérez,Associació Veïnal la Roqueta,associacio-veinal-roqueta,av,castellano,barri,La Roqueta,Extramurs,participacio|urbanisme|medi_ambient,participacio:participacio|participacio:processos_participatius|urbanisme:espai_public|urbanisme:patrimoni|medi_ambient:zones_verdes|medi_ambient:contaminacio,7|14,1401|705|709,"Marcelo Martínez, de la Associació Veïnal la Roqueta, rechaza las declaraciones del concejal Olano que cuestiona la representatividad de las asociaciones vecinales, denunciando la situación de abandono del barrio de La Roqueta y exigiendo disculpas públicas y un proyecto de renovación urbanística integral.","Marcelo Martínez, de la Associació Veïnal la Roqueta, rebutja les declaracions del regidor Olano que qüestiona la representativitat de les associacions veïnals, denunciant la situació d'abandó del barri de La Roqueta i exigint disculpes públiques i un projecte de renovació urbanística integral."
